setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1419.3432,24.527,0.383,9.57507423806423e+16,1.1761514180723358,4.0
1,1407.8509,24.727,0.386,9.559751323523482e+16,1.1454857706147081,4.0
2,1410.8303,24.675,0.386,9.566404694310912e+16,1.1408537328243256,4.0
3,1410.9651,24.672,0.386,9.580753125251482e+16,1.229645840385381,4.0
4,1408.761,24.711,0.386,9.574939826533171e+16,1.1583485984626938,4.0
5,1423.4393,24.456,0.382,9.789830261814067e+16,1.3672203298877268,4.0
6,1422.7145,24.469,0.382,9.777027563480678e+16,1.2939053331227863,4.0
7,1422.3047,24.476,0.382,9.779648588336333e+16,1.1485417410731316,4.0
8,1423.8877,24.449,0.382,9.768794857203302e+16,1.1264531384496128,4.0
9,1420.3787,24.509,0.383,9.748028275654656e+16,1.1907679815502727,4.0
10,1416.7059,24.572,0.384,9.767417139009946e+16,1.3573890468653511,4.0
11,1417.9657,24.551,0.384,9.775885065466675e+16,1.364203368916231,4.0
12,1420.8873,24.5,0.383,9.762040677767578e+16,1.1700768080704353,4.0
13,1420.8176,24.501,0.383,9.784117771744051e+16,1.2548878149074667,4.0
14,1419.6485,24.522,0.383,9.76570339198894e+16,1.2044785719584017,4.0
15,1424.0604,24.446,0.382,9.771113456114074e+16,1.1987550525980837,4.0
16,1422.2971,24.476,0.382,9.766879492885709e+16,1.2006699797861717,4.0
17,1423.3978,24.457,0.382,9.780320645991629e+16,1.1793262550936026,4.0
18,1425.6188,24.419,0.382,9.783580125619814e+16,1.1390635721823748,4.0
19,1419.4853,24.524,0.383,9.757705905890918e+16,1.142679090885555,4.0
20,1422.9383,24.465,0.382,9.778707707618918e+16,1.1348028752733679,4.0
21,1425.3294,24.424,0.382,9.777632415370445e+16,1.2237905329641174,4.0
22,1425.8235,24.415,0.382,9.772759997369549e+16,1.1886230027850937,4.0
23,1421.9047,24.483,0.383,9.776019476997734e+16,1.1918081395766313,4.0
24,1422.1935,24.478,0.383,9.75491686662144e+16,1.139370616306277,4.0
25,1421.3173,24.493,0.383,9.778136458611917e+16,1.3872748464345932,4.0
26,1423.959,24.447,0.382,9.78522666687529e+16,1.1457023090299439,4.0
27,1419.561,24.523,0.383,9.77178551376937e+16,1.1776520395103622,4.0
28,1422.0459,24.48,0.383,9.766341846761472e+16,1.2168653243604828,4.0
29,1422.9372,24.465,0.382,9.772155145479782e+16,1.19213253917063,4.0
