setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2560.8362,14.283,0.222,1.704150037687173e+17,1.2674214252283875,3.9755030621172356
1,2565.808,14.255,0.221,1.7115964365078528e+17,1.169745619028387,3.9755030621172356
2,2566.0943,14.254,0.221,1.7108437319339213e+17,1.1720138956123674,3.9755030621172356
3,2547.6593,14.357,0.223,1.704499507667927e+17,1.1864864826202393,3.9755030621172356
4,2558.3277,14.297,0.222,1.7038812146250547e+17,1.2954560165673914,3.9755030621172356
5,2562.5305,14.273,0.222,1.708531853599703e+17,1.1508133554122817,3.9755030621172356
6,2557.7887,14.3,0.222,1.706542562940027e+17,1.1902289415749026,3.9755030621172356
7,2556.8696,14.305,0.222,1.709230793561211e+17,1.2160434387099575,3.9755030621172356
8,2557.7973,14.3,0.222,1.7084512066810675e+17,1.1592832535085544,3.9755030621172356
9,2566.1809,14.253,0.221,1.706542562940027e+17,1.1791621698460109,3.9755030621172356
10,2567.2624,14.247,0.221,1.710225438891049e+17,1.2417704698065637,3.9755030621172356
11,2559.4701,14.29,0.222,1.707886678250619e+17,1.2441488907370768,3.9755030621172356
12,2564.0375,14.265,0.222,1.709553381235753e+17,1.189429115241682,3.9755030621172356
13,2559.1708,14.292,0.222,1.705655446835036e+17,1.1263784539531654,3.9755030621172356
14,2566.0881,14.254,0.221,1.7108437319339213e+17,1.2126661186486902,3.9755030621172356
15,2569.1544,14.237,0.221,1.704848977648681e+17,1.138932807344786,3.9755030621172356
16,2565.717,14.256,0.221,1.707671619800924e+17,1.2211966934338423,3.9755030621172356
17,2552.4338,14.33,0.223,1.7027252754579456e+17,1.184497828214941,3.9755030621172356
18,2573.7163,14.211,0.221,1.7066500921648742e+17,1.1482032688570694,3.9755030621172356
19,2557.5598,14.301,0.222,1.7104673796469555e+17,1.2256558864889011,3.9755030621172356
20,2559.3324,14.291,0.222,1.7052790945480704e+17,1.2020749533680124,3.9755030621172356
21,2551.2877,14.336,0.223,1.702994098520064e+17,1.1519583245398293,3.9755030621172356
22,2561.0437,14.282,0.222,1.7057898583660954e+17,1.1921055300135008,3.9755030621172356
23,2568.1599,14.242,0.221,1.7100103804413542e+17,1.2344731831214797,3.9755030621172356
24,2567.7175,14.245,0.221,1.708370559762432e+17,1.1741867418020544,3.9755030621172356
25,2566.6248,14.251,0.221,1.7089350881928806e+17,1.2305221440086902,3.9755030621172356
26,2557.3663,14.302,0.222,1.7079135605568307e+17,1.191044250004728,3.9755030621172356
27,2740.4311,13.347,0.207,1.709875968910295e+17,1.1517123000722536,3.9755030621172356
28,2563.5286,14.268,0.222,1.705521035303977e+17,1.230173966414492,3.9755030621172356
29,2569.7185,14.233,0.221,1.7121878472445133e+17,1.209796130657196,3.9755030621172356
