setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2514.5198,14.546,0.226,1.6817033120002867e+17,1.1315024553889959,3.9755030621172356
1,2518.8106,14.521,0.226,1.689579827720356e+17,1.124173315478043,3.9755030621172356
2,2521.8262,14.504,0.225,1.688208830103552e+17,1.152032282990469,3.9755030621172356
3,2507.1966,14.588,0.227,1.6820258996748288e+17,1.12103541971932,3.9755030621172356
4,2510.0581,14.572,0.226,1.6813807243257446e+17,1.1376442808500478,3.9755030621172356
5,2555.9461,14.31,0.222,1.708531853599703e+17,1.0989773676428995,3.9755030621172356
6,2549.9499,14.344,0.223,1.706542562940027e+17,1.1437874344033254,3.9755030621172356
7,2547.2702,14.359,0.223,1.709230793561211e+17,1.1456608772277832,3.9755030621172356
8,2543.5571,14.38,0.223,1.7084512066810675e+17,1.0966839765159178,3.9755030621172356
9,2550.8731,14.339,0.223,1.706542562940027e+17,1.158191098293788,3.9755030621172356
10,2554.3471,14.319,0.222,1.710225438891049e+17,1.1543937501773027,3.9755030621172356
11,2546.3819,14.364,0.223,1.707886678250619e+17,1.1994933410429618,3.9755030621172356
12,2549.1538,14.348,0.223,1.709553381235753e+17,1.1100337219909884,3.9755030621172356
13,2545.9311,14.366,0.223,1.705655446835036e+17,1.089943418200587,3.9755030621172356
14,2551.9043,14.333,0.223,1.7108437319339213e+17,1.1895364086392899,3.9755030621172356
15,2550.1772,14.343,0.223,1.704848977648681e+17,1.1527121990499363,3.9755030621172356
16,2552.4071,14.33,0.223,1.707671619800924e+17,1.128115264462753,3.9755030621172356
17,2540.6969,14.396,0.224,1.7027252754579456e+17,1.125850949488895,3.9755030621172356
18,2557.4838,14.302,0.222,1.7066500921648742e+17,1.0766935675916538,3.9755030621172356
19,2545.7132,14.368,0.223,1.7104673796469555e+17,1.124958554623832,3.9755030621172356
20,2539.8393,14.401,0.224,1.7052790945480704e+17,1.1352758038211876,3.9755030621172356
21,2537.4442,14.415,0.224,1.702994098520064e+17,1.11872149353296,3.9755030621172356
22,2541.8022,14.39,0.223,1.7057898583660954e+17,1.1476589777100255,3.9755030621172356
23,2554.2646,14.32,0.222,1.7100103804413542e+17,1.1443675529788917,3.9755030621172356
24,2546.8431,14.361,0.223,1.708370559762432e+17,1.1185749601310409,3.9755030621172356
25,2553.6977,14.323,0.222,1.7089350881928806e+17,1.1409478901137768,3.9755030621172356
26,2543.5763,14.38,0.223,1.7079135605568307e+17,1.2471976767123585,3.9755030621172356
27,2545.5791,14.368,0.223,1.709875968910295e+17,1.1231374723810545,3.9755030621172356
28,2549.6291,14.346,0.223,1.705521035303977e+17,1.247994708343291,3.9755030621172356
29,2556.3825,14.308,0.222,1.7121878472445133e+17,1.1068520101023391,3.9755030621172356
