setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2563.8883,14.205,0.222,1.7088981250218394e+17,1.120791927189894,3.989464442493415
1,2570.1702,14.17,0.221,1.707846354791301e+17,1.0539376903587663,3.989464442493415
2,2570.0763,14.171,0.221,1.708357118609326e+17,1.0581704294177847,3.989464442493415
3,2571.4173,14.163,0.221,1.709482815181947e+17,1.0528440525833989,3.989464442493415
4,2563.8422,14.205,0.222,1.7069054740738867e+17,1.1288959980010986,3.989464442493415
5,2568.4429,14.18,0.221,1.705907468455772e+17,1.062002914052614,3.989464442493415
6,2570.392,14.169,0.221,1.708397442068644e+17,1.069178025487443,3.989464442493415
7,2568.3179,14.18,0.221,1.7096911530550886e+17,1.1055354576715282,3.989464442493415
8,2563.4893,14.207,0.222,1.7114385029588582e+17,1.0520079983791835,3.989464442493415
9,2568.3835,14.18,0.221,1.7118114949575475e+17,1.0506981099155588,3.989464442493415
10,2567.1038,14.187,0.221,1.7134849185192346e+17,1.1025007761700052,3.989464442493415
11,2565.3902,14.197,0.221,1.7086729857073152e+17,1.0854401941030798,3.989464442493415
12,2573.5577,14.152,0.221,1.7107563644387328e+17,1.0644559683934065,3.989464442493415
13,2568.4063,14.18,0.221,1.7074464804864e+17,1.0296845771897007,3.989464442493415
14,2565.483,14.196,0.221,1.7082361482313728e+17,1.0762848467894004,3.989464442493415
15,2564.6193,14.201,0.221,1.7026681505572454e+17,1.036306599496116,3.989464442493415
16,2573.9284,14.15,0.221,1.7126381258735616e+17,1.0756786776260592,3.989464442493415
17,2573.8554,14.15,0.221,1.7116132379492352e+17,1.0701493410996987,3.989464442493415
18,2570.8473,14.167,0.221,1.7093820065336525e+17,1.0358017162537911,3.989464442493415
19,2561.0915,14.22,0.222,1.7080950161237606e+17,1.0620563575919246,3.989464442493415
20,2565.6942,14.195,0.221,1.7071541354063462e+17,1.0820576128825334,3.989464442493415
21,2561.5873,14.218,0.222,1.708215986501714e+17,1.055974095640048,3.989464442493415
22,2571.1567,14.165,0.221,1.7064283131386266e+17,1.0702916484483531,3.989464442493415
23,2571.8018,14.161,0.221,1.7083100745734554e+17,1.0695937972673228,3.989464442493415
24,2566.7072,14.189,0.221,1.7061057254640845e+17,1.0606311349801614,3.989464442493415
25,2572.7626,14.156,0.221,1.710574908871803e+17,1.0871897868707145,3.989464442493415
26,2574.9763,14.144,0.221,1.7099263732344422e+17,1.0611794465024706,3.989464442493415
27,2565.9835,14.193,0.221,1.7081218984299725e+17,1.047737503555459,3.989464442493415
28,2564.2387,14.203,0.222,1.7096340281543885e+17,1.0799592263262037,3.989464442493415
29,2570.0622,14.171,0.221,1.7067139376421274e+17,1.0885141282014443,3.989464442493415
