setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2534.281,14.371,0.224,1.6864782816411648e+17,1.0970667625816775,3.989464442493415
1,2544.0688,14.316,0.223,1.685668452166533e+17,1.072743105216765,3.989464442493415
2,2538.6565,14.346,0.224,1.6851476074836787e+17,1.104206274932539,3.989464442493415
3,2543.5559,14.319,0.223,1.6867907884508774e+17,1.09685802543667,3.989464442493415
4,2535.8983,14.362,0.224,1.6850467988353843e+17,1.2505927555997607,3.989464442493415
5,2567.8188,14.183,0.221,1.705907468455772e+17,1.0686130616026865,3.989464442493415
6,2571.3812,14.164,0.221,1.708397442068644e+17,1.0996596880362068,3.989464442493415
7,2569.2789,14.175,0.221,1.7096911530550886e+17,1.120722471828192,3.989464442493415
8,2563.5328,14.207,0.222,1.7114385029588582e+17,1.0903195713607359,3.989464442493415
9,2568.3672,14.18,0.221,1.7118114949575475e+17,1.0989112459437949,3.989464442493415
10,2565.3584,14.197,0.221,1.7134849185192346e+17,1.1223328415776643,3.989464442493415
11,2567.2146,14.187,0.221,1.7086729857073152e+17,1.1286069775970888,3.989464442493415
12,2574.4687,14.147,0.221,1.7107563644387328e+17,1.1024306231821086,3.989464442493415
13,2569.0882,14.176,0.221,1.7074464804864e+17,1.0630072934526793,3.989464442493415
14,2567.0842,14.187,0.221,1.7082361482313728e+17,1.0705006844560865,3.989464442493415
15,2568.3046,14.181,0.221,1.7026681505572454e+17,1.063221340448084,3.989464442493415
16,2581.7878,14.107,0.22,1.7126381258735616e+17,1.100502955241942,3.989464442493415
17,2574.7316,14.145,0.221,1.7116132379492352e+17,1.142022732277991,3.989464442493415
18,2572.0692,14.16,0.221,1.7093820065336525e+17,1.076063530545839,3.989464442493415
19,2564.6775,14.201,0.221,1.7080950161237606e+17,1.1091457361906347,3.989464442493415
20,2563.8361,14.205,0.222,1.7071541354063462e+17,1.1208425281753003,3.989464442493415
21,2563.5163,14.207,0.222,1.708215986501714e+17,1.1070666002555631,3.989464442493415
22,2569.6219,14.173,0.221,1.7064283131386266e+17,1.224743898485748,3.989464442493415
23,2570.778,14.167,0.221,1.7083100745734554e+17,1.1049384348829028,3.989464442493415
24,2569.3376,14.175,0.221,1.7061057254640845e+17,1.0775702612500795,3.989464442493415
25,2577.5549,14.13,0.22,1.710574908871803e+17,1.0855047921059837,3.989464442493415
26,2576.9694,14.133,0.22,1.7099263732344422e+17,1.1130189878839842,3.989464442493415
27,2568.6278,14.179,0.221,1.7081218984299725e+17,1.0903861564649662,3.989464442493415
28,2567.0145,14.188,0.221,1.7096340281543885e+17,1.23690093738932,3.989464442493415
29,2573.6487,14.151,0.221,1.7067139376421274e+17,1.1270870364887613,3.989464442493415
