setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5491.9228,12.763,0.199,3.6733730557761946e+17,1.2746063414074125,3.987220447284345
1,5482.7548,12.785,0.199,3.681209248036946e+17,1.2518741975337158,3.987220447284345
2,5494.4341,12.758,0.199,3.682069481835725e+17,1.2648750547961,3.987220447284345
3,5492.091,12.763,0.199,3.678144665128796e+17,1.2430072686611078,3.987220447284345
4,5497.2021,12.751,0.199,3.684408242476155e+17,1.2579724858532022,3.987220447284345
5,5480.5249,12.79,0.199,3.676787108665098e+17,1.2526682968978042,3.987220447284345
6,5493.091,12.761,0.199,3.683265744462152e+17,1.2569255103995076,3.987220447284345
7,5492.4357,12.762,0.199,3.680012985410519e+17,1.246801652314462,3.987220447284345
8,5492.4985,12.762,0.199,3.679650074276659e+17,1.2838253075386579,3.987220447284345
9,5488.0121,12.773,0.199,3.680066750022943e+17,1.2542783192225866,3.987220447284345
10,5493.3202,12.76,0.199,3.6782387532005376e+17,1.272313973842523,3.987220447284345
11,5481.0211,12.789,0.199,3.674515553790198e+17,1.278478578770117,3.987220447284345
12,5470.809,12.813,0.2,3.670953648217129e+17,1.2578412560752896,3.987220447284345
13,5488.2752,12.772,0.199,3.68083289574998e+17,1.2306161878746509,3.987220447284345
14,5492.162,12.763,0.199,3.677674224770089e+17,1.2673212163177603,3.987220447284345
15,5491.1488,12.765,0.199,3.6773919605548646e+17,1.2752798389602493,3.987220447284345
16,5493.255,12.76,0.199,3.685174388203192e+17,1.2806064252888327,3.987220447284345
17,5494.0475,12.759,0.199,3.681666247242547e+17,1.2462345414109282,3.987220447284345
18,5492.867,12.761,0.199,3.676988725961687e+17,1.2478151250453222,3.987220447284345
19,5487.4383,12.774,0.199,3.67885704624341e+17,1.2495911234901065,3.987220447284345
20,5484.1917,12.781,0.199,3.678037135903949e+17,1.2798492943410908,3.987220447284345
21,5487.7836,12.773,0.199,3.6792871631427994e+17,1.2489501792432625,3.987220447284345
22,5492.1104,12.763,0.199,3.6846367420789555e+17,1.2580843565664885,3.987220447284345
23,5484.9527,12.78,0.199,3.676854314430628e+17,1.2595622137789324,3.987220447284345
24,5497.8116,12.75,0.199,3.678843605090304e+17,1.2741026485359275,3.987220447284345
25,5492.3043,12.763,0.199,3.682835627562762e+17,1.2711186085865174,3.987220447284345
26,5474.9588,12.803,0.199,3.677459166320394e+17,1.2572362702408117,3.987220447284345
27,5481.15,12.789,0.199,3.6792468396834816e+17,1.2500552580906794,3.987220447284345
28,5480.376,12.79,0.199,3.673668761144525e+17,1.281924931557624,3.987220447284345
29,5478.4583,12.795,0.199,3.677217225564488e+17,1.2691993783245157,3.987220447284345
