setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5471.5935,12.811,0.2,3.62304937854763e+17,1.28409075038337,3.987220447284345
1,5469.9017,12.815,0.2,3.6290306916797645e+17,1.2920960768675194,3.987220447284345
2,5469.7782,12.815,0.2,3.631127511564288e+17,1.3184501461056999,3.987220447284345
3,5468.0045,12.819,0.2,3.626799460264182e+17,1.332263389349857,3.987220447284345
4,5474.9212,12.803,0.199,3.632968949539799e+17,1.3543541387760596,3.987220447284345
5,5513.3249,12.714,0.198,3.676787108665098e+17,1.3869061522431425,3.987220447284345
6,5527.8453,12.681,0.198,3.683265744462152e+17,1.2791645430819891,3.987220447284345
7,5524.1521,12.689,0.198,3.680012985410519e+17,1.2607504249492407,3.987220447284345
8,5516.7419,12.706,0.198,3.679650074276659e+17,1.3149093446277438,3.987220447284345
9,5525.8325,12.685,0.198,3.680066750022943e+17,1.2700125599082137,3.987220447284345
10,5526.678,12.683,0.198,3.6782387532005376e+17,1.2762413094768594,3.987220447284345
11,5517.7816,12.704,0.198,3.674515553790198e+17,1.2941428462227622,3.987220447284345
12,5506.9262,12.729,0.198,3.670953648217129e+17,1.2662977150508337,3.987220447284345
13,5527.6084,12.681,0.198,3.68083289574998e+17,1.2805755601261124,3.987220447284345
14,5530.0439,12.675,0.197,3.677674224770089e+17,1.3119048115971323,3.987220447284345
15,5523.4284,12.691,0.198,3.6773919605548646e+17,1.2567853477848319,3.987220447284345
16,5526.7859,12.683,0.198,3.685174388203192e+17,1.273106806444161,3.987220447284345
17,5523.6326,12.69,0.198,3.681666247242547e+17,1.331312752468682,3.987220447284345
18,5524.0434,12.689,0.198,3.676988725961687e+17,1.498542104448591,3.987220447284345
19,5524.5374,12.688,0.198,3.67885704624341e+17,1.2793124053941105,3.987220447284345
20,5714.9161,12.265,0.191,3.678037135903949e+17,1.3476629667666369,3.987220447284345
21,5744.0425,12.203,0.19,3.6792871631427994e+17,1.287195324461102,3.987220447284345
22,5743.6976,12.204,0.19,3.6846367420789555e+17,1.3241226791025518,3.987220447284345
23,5740.4996,12.211,0.19,3.676854314430628e+17,1.2848195007869176,3.987220447284345
24,5749.534,12.192,0.19,3.678843605090304e+17,1.308715291075654,3.987220447284345
25,5742.8878,12.206,0.19,3.682835627562762e+17,1.2736964513967326,3.987220447284345
26,5736.6796,12.219,0.19,3.677459166320394e+17,1.2969108527396624,3.987220447284345
27,5743.482,12.204,0.19,3.6792468396834816e+17,1.3087848311378842,3.987220447284345
28,5741.7436,12.208,0.19,3.673668761144525e+17,1.5027881926232642,3.987220447284345
29,5745.6431,12.2,0.19,3.677217225564488e+17,1.4549300932622218,3.987220447284345
