setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5453.0,12.848,0.2,3.650217309262971e+17,1.3843699671846605,3.989041095890411
1,5444.1213,12.869,0.201,3.6507751171168666e+17,1.3339277082310492,3.989041095890411
2,5445.8369,12.865,0.201,3.644955097822003e+17,1.3467392860314784,3.989041095890411
3,5439.6118,12.88,0.201,3.6408958695840154e+17,1.328944397496653,3.989041095890411
4,5441.8345,12.874,0.201,3.6430800569637274e+17,1.3453103867205944,3.989041095890411
5,5436.5377,12.887,0.201,3.640109562127319e+17,1.3162649411421556,3.989041095890411
6,5439.4976,12.88,0.201,3.647962555829453e+17,1.3305970504607036,3.989041095890411
7,5451.9049,12.851,0.2,3.6484934813771366e+17,1.322527744831183,3.989041095890411
8,5441.7624,12.875,0.201,3.6429960497568154e+17,1.3494197885632078,3.989041095890411
9,5434.004,12.893,0.201,3.6463092939974246e+17,1.3167431965852394,3.989041095890411
10,5443.0394,12.871,0.201,3.6476164461369754e+17,1.362838559098296,3.989041095890411
11,5439.4664,12.88,0.201,3.6540581187629875e+17,1.35414443784581,3.989041095890411
12,5431.4309,12.899,0.201,3.638130352332472e+17,1.3413933091984565,3.989041095890411
13,5428.8419,12.905,0.201,3.639830658200371e+17,1.3143466759077358,3.989041095890411
14,5443.8573,12.87,0.201,3.649659501409075e+17,1.325132721946353,3.989041095890411
15,5436.0428,12.888,0.201,3.644632510147461e+17,1.3438087208367093,3.989041095890411
16,5439.9011,12.879,0.201,3.645106310794445e+17,1.3459777386633904,3.989041095890411
17,5438.4301,12.882,0.201,3.641362949654446e+17,1.3384692136184637,3.989041095890411
18,5430.6967,12.901,0.201,3.645351611838628e+17,1.337394593836187,3.989041095890411
19,5430.5294,12.901,0.201,3.652246923381965e+17,1.3394009184924673,3.989041095890411
20,5423.3024,12.918,0.201,3.6456372363421286e+17,1.3607430431869003,3.989041095890411
21,5436.8496,12.886,0.201,3.649162178744156e+17,1.3331945614937024,3.989041095890411
22,5428.2469,12.907,0.201,3.650513014631301e+17,1.3356103643829569,3.989041095890411
23,5428.9928,12.905,0.201,3.646947748769956e+17,1.3456927856682859,3.989041095890411
24,5420.7136,12.924,0.201,3.6472602555796685e+17,1.3379824196462666,3.989041095890411
25,5417.3768,12.932,0.202,3.644444334003978e+17,1.355267067968627,3.989041095890411
26,5426.6225,12.91,0.201,3.643442968097587e+17,1.338326041951721,3.989041095890411
27,5426.4662,12.911,0.201,3.6466654845547315e+17,1.3268588017194698,3.989041095890411
28,5415.715,12.936,0.202,3.640388466054267e+17,1.364949222012754,3.989041095890411
29,5445.1666,12.866,0.201,3.635566452377518e+17,1.3410362708262908,3.989041095890411
