setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5403.8711,12.965,0.202,3.601577136460923e+17,1.2836344268295792,3.989041095890411
1,5390.7004,12.996,0.203,3.601220945903616e+17,1.238820731858194,3.989041095890411
2,5393.0408,12.991,0.202,3.596019219651625e+17,1.2451492377689906,3.989041095890411
3,5384.3123,13.012,0.203,3.590384016211968e+17,1.2838287886245783,3.989041095890411
4,5387.0041,13.005,0.203,3.594681824917586e+17,1.4791275703863347,3.989041095890411
5,5438.5814,12.882,0.201,3.640109562127319e+17,1.3810711055448204,3.989041095890411
6,5443.261,12.871,0.201,3.647962555829453e+17,1.231174886444986,3.989041095890411
7,5455.5492,12.842,0.2,3.6484934813771366e+17,1.2576418726435512,3.989041095890411
8,5446.2628,12.864,0.201,3.6429960497568154e+17,1.2728512994535677,3.989041095890411
9,5439.4717,12.88,0.201,3.6463092939974246e+17,1.2302517122401422,3.989041095890411
10,5448.6183,12.858,0.2,3.6476164461369754e+17,1.2768369658744378,3.989041095890411
11,5447.871,12.86,0.2,3.6540581187629875e+17,1.3526431046999419,3.989041095890411
12,5436.6418,12.887,0.201,3.638130352332472e+17,1.430089690309741,3.989041095890411
13,5429.9878,12.902,0.201,3.639830658200371e+17,1.3528629886361705,3.989041095890411
14,5450.9041,12.853,0.2,3.649659501409075e+17,1.2574402088429029,3.989041095890411
15,5444.0283,12.869,0.201,3.644632510147461e+17,1.3502295881837278,3.989041095890411
16,5448.1187,12.859,0.2,3.645106310794445e+17,1.2339628738361401,3.989041095890411
17,5439.4033,12.88,0.201,3.641362949654446e+17,1.2647590938505235,3.989041095890411
18,5441.1124,12.876,0.201,3.645351611838628e+17,1.369180677574633,3.989041095890411
19,5459.7768,12.832,0.2,3.652246923381965e+17,1.3358087766738165,3.989041095890411
20,5448.734,12.858,0.2,3.6456372363421286e+17,1.2930219828427494,3.989041095890411
21,5454.9612,12.843,0.2,3.649162178744156e+17,1.2468406282938445,3.989041095890411
22,5460.7159,12.83,0.2,3.650513014631301e+17,1.241429301845285,3.989041095890411
23,5457.8102,12.837,0.2,3.646947748769956e+17,1.2746618475232805,3.989041095890411
24,5446.5081,12.863,0.2,3.6472602555796685e+17,1.2326833389617584,3.989041095890411
25,5446.7655,12.863,0.2,3.644444334003978e+17,1.2472329877671742,3.989041095890411
26,5445.7193,12.865,0.201,3.643442968097587e+17,1.2676784660353329,3.989041095890411
27,5446.3911,12.864,0.2,3.6466654845547315e+17,1.3127038478851318,3.989041095890411
28,5453.7476,12.846,0.2,3.640388466054267e+17,1.291872535433088,3.989041095890411
29,5426.4786,12.911,0.201,3.635566452377518e+17,1.2513056927984887,3.989041095890411
