setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4976.8071,34.174,0.534,3.127601754486866e+17,1.1883435256509896,3.99699021820918
1,4969.1595,34.226,0.534,3.126573506274263e+17,1.1748891758272446,3.99699021820918
2,4966.4251,34.245,0.535,3.1269196159667405e+17,1.1937941048877785,3.99699021820918
3,4961.3691,34.28,0.535,3.128240209259397e+17,1.1793019022927227,3.99699021820918
4,4958.6159,34.299,0.536,3.127033865768141e+17,1.1904491302837807,3.99699021820918
5,4954.3876,34.328,0.536,3.1284317456911565e+17,1.1784039633460792,3.99699021820918
6,4968.2858,34.232,0.535,3.127195159605412e+17,1.1768835488572178,3.99699021820918
7,4968.8231,34.229,0.535,3.1297758610017485e+17,1.1781763375164516,3.99699021820918
8,4961.8055,34.277,0.535,3.1289996344098816e+17,1.1806384949799043,3.99699021820918
9,4972.9064,34.201,0.534,3.128240209259397e+17,1.1770001204617053,3.99699021820918
