setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4852.5833,35.049,0.547,3.127601754486866e+17,1.1850254068891686,3.99699021820918
1,4845.4201,35.1,0.548,3.126573506274263e+17,1.1697331900338093,3.99699021820918
2,4851.2463,35.058,0.547,3.1269196159667405e+17,1.1849171424127487,3.99699021820918
3,4854.5653,35.034,0.547,3.128240209259397e+17,1.1741415553064232,3.99699021820918
4,4858.0948,35.009,0.547,3.127033865768141e+17,1.1823637925357704,3.99699021820918
5,4848.1385,35.081,0.548,3.1284317456911565e+17,1.1713587149798153,3.99699021820918
6,4846.6486,35.091,0.548,3.127195159605412e+17,1.1739795024854591,3.99699021820918
7,4849.6737,35.07,0.548,3.1297758610017485e+17,1.176954261150705,3.99699021820918
8,4849.2475,35.073,0.548,3.1289996344098816e+17,1.1735710248530629,3.99699021820918
9,4853.0898,35.045,0.547,3.128240209259397e+17,1.1715834616537553,3.99699021820918
