setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4844.7788,35.105,0.548,3.127601754486866e+17,1.4294925615730056,3.99699021820918
1,4863.3482,34.971,0.546,3.126573506274263e+17,1.2213268534964825,3.99699021820918
2,4860.8996,34.989,0.546,3.1269196159667405e+17,1.3425716621329986,3.99699021820918
3,4859.4588,34.999,0.547,3.128240209259397e+17,1.3813595689204803,3.99699021820918
4,4859.8848,34.996,0.547,3.127033865768141e+17,1.225921877356897,3.99699021820918
5,4866.3279,34.95,0.546,3.1284317456911565e+17,1.2150084889796844,3.99699021820918
6,4865.091,34.958,0.546,3.127195159605412e+17,1.2274170991886093,3.99699021820918
7,4860.1869,34.994,0.546,3.1297758610017485e+17,1.4064661806606384,3.99699021820918
8,4865.2596,34.957,0.546,3.1289996344098816e+17,1.2490156951798015,3.99699021820918
9,4862.0589,34.98,0.546,3.128240209259397e+17,1.3742929481598267,3.99699021820918
