setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4796.9053,35.367,0.552,3.1214658680940134e+17,1.1554029447074383,3.9954734062617883
1,4802.7426,35.324,0.551,3.123821430175826e+17,1.146125899340811,3.9954734062617883
2,4798.4921,35.355,0.552,3.122702454179758e+17,1.1612392330817947,3.9954734062617883
3,4802.0765,35.329,0.551,3.124681663974605e+17,1.1455376009566547,3.9954734062617883
4,4808.3905,35.282,0.551,3.125454530278195e+17,1.1545662831323744,3.9954734062617883
5,4804.4529,35.311,0.551,3.125014332513976e+17,1.169137248279825,3.9954734062617883
6,4802.5171,35.326,0.551,3.1230351227191296e+17,1.1453371752064754,3.9954734062617883
7,4795.5812,35.377,0.552,3.1233913132764365e+17,1.1448140551316415,3.9954734062617883
8,4797.1694,35.365,0.552,3.12201359508308e+17,1.172477174381475,3.9954734062617883
9,4801.5075,35.333,0.551,3.1232938649164186e+17,1.144863117857642,3.9954734062617883
