setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4836.531,35.077,0.547,3.1214658680940134e+17,1.239242069670801,3.9954734062617883
1,4846.6296,35.004,0.546,3.123821430175826e+17,1.2169565128055584,3.9954734062617883
2,4838.2024,35.065,0.547,3.122702454179758e+17,1.21770291548121,3.9954734062617883
3,4836.4322,35.078,0.548,3.124681663974605e+17,1.3785076278214008,3.9954734062617883
4,4849.6467,34.982,0.546,3.125454530278195e+17,1.210552684129905,3.9954734062617883
5,4845.8197,35.01,0.546,3.125014332513976e+17,1.2480158546539952,3.9954734062617883
6,4853.2805,34.956,0.546,3.1230351227191296e+17,1.2193923814059024,3.9954734062617883
7,4835.9005,35.082,0.548,3.1233913132764365e+17,1.2568120951018664,3.9954734062617883
8,4830.38,35.122,0.548,3.12201359508308e+17,1.2137156339570474,3.9954734062617883
9,4834.6516,35.091,0.548,3.1232938649164186e+17,1.403478570935229,3.9954734062617883
