setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,12863.9879,7.891,0.493,6.804487187894108e+17,0.7836028059373737,4.0
1,12877.0036,7.883,0.493,6.799594619614003e+17,0.7783831965276903,4.0
2,12884.243,7.878,0.492,6.810737309460726e+17,0.7734221726618379,4.0
3,12863.7612,7.891,0.493,6.803022105634406e+17,0.7716886304215556,4.0
4,12893.3812,7.873,0.492,6.822726789971313e+17,0.7825140838815465,4.0
5,12902.7238,7.867,0.492,6.819043922639585e+17,0.7688661783670567,4.0
6,12882.8193,7.879,0.492,6.806973795399107e+17,0.7724048085651662,4.0
7,12916.685,7.858,0.491,6.825509102152581e+17,0.7710085738952944,4.0
8,12897.2532,7.87,0.492,6.813304563695616e+17,0.7749493699356407,4.0
9,12890.2811,7.874,0.492,6.818170249732424e+17,0.7724835523891569,4.0
