setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,12879.9537,7.881,0.493,6.804487187894108e+17,0.8112521206145028,4.0
1,12848.366,7.9,0.494,6.799594619614003e+17,0.8114706809253139,4.0
2,12850.3689,7.899,0.494,6.810737309460726e+17,0.8015729872906794,4.0
3,12841.8275,7.904,0.494,6.803022105634406e+17,0.8089421622239025,4.0
4,12878.979,7.881,0.493,6.822726789971313e+17,0.830453961824559,4.0
5,12882.0962,7.879,0.492,6.819043922639585e+17,0.8086781821214837,4.0
6,12853.8117,7.897,0.494,6.806973795399107e+17,0.8093427960839579,4.0
7,12888.2158,7.876,0.492,6.825509102152581e+17,0.8145522836778984,4.0
8,12867.7769,7.888,0.493,6.813304563695616e+17,0.8201343148834017,4.0
9,12858.9688,7.894,0.493,6.818170249732424e+17,0.8265952924912394,4.0
