setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,12807.3504,7.761,0.485,6.838405858374451e+17,0.7670483807940216,3.9993561886367295
1,12755.7193,7.793,0.487,6.82452790027223e+17,0.7607622209550179,3.9993561886367295
2,12770.9576,7.783,0.486,6.83544881161175e+17,0.7575846347821119,3.9993561886367295
3,12768.722,7.785,0.487,6.834434006927278e+17,0.755824223074388,3.9993561886367295
4,12758.1894,7.791,0.487,6.836302322836439e+17,0.7665280276394935,3.9993561886367295
5,12775.4936,7.781,0.486,6.846013533227581e+17,0.7549369930837205,3.9993561886367295
6,12765.7955,7.786,0.487,6.836006618160169e+17,0.7563840604488572,3.9993561886367295
7,12774.027,7.781,0.486,6.849071388402647e+17,0.7571454065044081,3.9993561886367295
8,12770.5594,7.784,0.486,6.836705556485898e+17,0.7692981524691609,3.9993561886367295
9,12775.2721,7.781,0.486,6.833634260189184e+17,0.7558600351415905,3.9993561886367295
