setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,987.5695,35.578,0.555,6.268416162476851e+16,1.3408691256585783,3.9927140255009106
1,984.1651,35.701,0.557,6.251211486501274e+16,1.2935509194422812,3.9927140255009106
2,984.8645,35.676,0.556,6.268953808601088e+16,1.3009669519688962,3.9927140255009106
3,984.0323,35.706,0.557,6.269491454725325e+16,1.3087621405176872,3.9927140255009106
4,989.0951,35.523,0.554,6.252824424873984e+16,1.3155471495468252,3.9927140255009106
5,986.6069,35.613,0.555,6.262502055110246e+16,1.264172259908523,3.9927140255009106
6,982.9432,35.746,0.558,6.241533856265011e+16,1.2887901494102756,3.9927140255009106
7,985.7759,35.643,0.556,6.272717331470746e+16,1.3047915514368211,3.9927140255009106
8,987.2423,35.59,0.555,6.240996210140774e+16,1.2939817296327465,3.9927140255009106
9,984.8794,35.675,0.556,6.25174913262551e+16,1.2931022417806362,3.9927140255009106
