setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,997.0981,35.238,0.55,6.268416162476851e+16,1.3048456098041394,3.9927140255009106
1,994.4426,35.332,0.551,6.251211486501274e+16,1.2721186815387142,3.9927140255009106
2,993.9226,35.351,0.551,6.268953808601088e+16,1.2943932279183046,3.9927140255009106
3,992.5151,35.401,0.552,6.269491454725325e+16,1.2790103097901726,3.9927140255009106
4,997.1686,35.236,0.55,6.252824424873984e+16,1.2937945240605486,3.9927140255009106
5,996.9942,35.242,0.55,6.262502055110246e+16,1.267565422684607,3.9927140255009106
6,992.6666,35.396,0.552,6.241533856265011e+16,1.2760119890644603,3.9927140255009106
7,997.2536,35.233,0.55,6.272717331470746e+16,1.2820763135478443,3.9927140255009106
8,994.3814,35.335,0.551,6.240996210140774e+16,1.3032286950271494,3.9927140255009106
9,993.3633,35.371,0.552,6.25174913262551e+16,1.296491964019998,3.9927140255009106
