setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1013.8495,34.336,0.537,6.336092368365158e+16,1.3130579713512869,4.0
1,1005.2993,34.628,0.541,6.324600182459597e+16,1.2677670708473991,4.0
2,1008.728,34.511,0.539,6.326952384253133e+16,1.2897619517410503,4.0
3,1009.844,34.473,0.539,6.338612584572518e+16,1.2677186368142856,4.0
4,1008.8725,34.506,0.539,6.320971071120998e+16,1.2816356122493744,4.0
5,1013.7038,34.341,0.537,6.356791744148275e+16,1.2181039404343157,4.0
6,1011.1071,34.43,0.538,6.346710879318835e+16,1.264932344941532,4.0
7,1010.722,34.443,0.538,6.332127228198912e+16,1.2670965177171372,4.0
8,1007.7633,34.544,0.54,6.319122912568934e+16,1.2693890144719797,4.0
9,1006.3449,34.593,0.541,6.308571607380787e+16,1.2793818212607329,4.0
