setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1008.3138,34.525,0.54,6.336092368365158e+16,1.2558081978384186,4.0
1,1004.5864,34.653,0.542,6.324600182459597e+16,1.2976676558747011,4.0
2,1009.3872,34.488,0.539,6.326952384253133e+16,1.251141946981935,4.0
3,1010.4352,34.452,0.538,6.338612584572518e+16,1.2699661938583149,4.0
4,1006.1797,34.598,0.541,6.320971071120998e+16,1.2416009280611486,4.0
5,1010.2483,34.459,0.538,6.356791744148275e+16,1.231249651488136,4.0
6,1009.4928,34.485,0.539,6.346710879318835e+16,1.281192563035909,4.0
7,1010.5089,34.45,0.538,6.332127228198912e+16,1.2330548123401754,4.0
8,1006.9132,34.573,0.54,6.319122912568934e+16,1.2584782383021187,4.0
9,1006.504,34.587,0.54,6.308571607380787e+16,1.2723423049730413,4.0
