setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2104.5507,17.379,0.272,1.5424798481291674e+17,1.1947661013036341,4.0
1,2113.0754,17.309,0.271,1.5500606584809062e+17,1.1603172100507295,4.0
2,2111.5386,17.322,0.271,1.5449799026068685e+17,1.1389178462795444,4.0
3,2106.6191,17.362,0.272,1.5373722099489178e+17,1.1339531749278515,4.0
4,2108.9128,17.344,0.271,1.54704984018518e+17,1.1830692020329563,4.0
5,2107.3242,17.357,0.271,1.5412432620434227e+17,1.1221475901303593,4.0
6,2109.873,17.336,0.271,1.5476950155342643e+17,1.137919718777383,4.0
7,2109.4888,17.339,0.271,1.546404664836096e+17,1.1632470184272818,4.0
8,2109.0781,17.342,0.271,1.5479638385963827e+17,1.141629209051599,4.0
9,2105.4319,17.372,0.272,1.53901203062784e+17,1.148892646486109,4.0
