setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2113.0367,17.31,0.271,1.5424798481291674e+17,1.1824016016680043,4.0
1,2120.6309,17.248,0.27,1.5500606584809062e+17,1.1664775247340435,4.0
2,2119.6933,17.255,0.27,1.5449799026068685e+17,1.142012248714487,4.0
3,2115.6854,17.288,0.27,1.5373722099489178e+17,1.202788705592389,4.0
4,2117.6505,17.272,0.27,1.54704984018518e+17,1.1678730076426393,4.0
5,2114.8294,17.295,0.27,1.5412432620434227e+17,1.152152794224399,4.0
6,2116.6943,17.28,0.27,1.5476950155342643e+17,1.1724489145762438,4.0
7,2118.188,17.268,0.27,1.546404664836096e+17,1.187617872978424,4.0
8,2120.1806,17.251,0.27,1.5479638385963827e+17,1.1963944839430856,4.0
9,2115.9819,17.286,0.27,1.53901203062784e+17,1.1684598972747375,4.0
