setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2115.2796,17.218,0.269,1.5397277720307302e+17,1.2138085852206593,3.9859649122807017
1,2120.6457,17.174,0.268,1.5460921580263834e+17,1.133995962814546,3.9859649122807017
2,2113.6844,17.231,0.269,1.5374898200385946e+17,1.1314258676179698,3.9859649122807017
3,2117.165,17.202,0.268,1.5433468025044992e+17,1.1330416815381654,3.9859649122807017
4,2111.1682,17.251,0.269,1.5378392900193485e+17,1.1903668860314598,3.9859649122807017
5,2108.7133,17.271,0.269,1.537862812037284e+17,1.1078183105294133,3.9859649122807017
6,2118.2683,17.193,0.268,1.5407022556309094e+17,1.135757201154467,3.9859649122807017
7,2120.6401,17.174,0.268,1.5451949610565632e+17,1.1708714592624718,3.9859649122807017
8,2115.4632,17.216,0.268,1.5427755534974976e+17,1.1394282050535713,3.9859649122807017
9,2116.9271,17.204,0.268,1.5441969554384486e+17,1.1450340655488027,3.9859649122807017
