setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2114.3405,17.225,0.269,1.5397277720307302e+17,1.2184869210485,3.9859649122807017
1,2116.9841,17.204,0.268,1.5460921580263834e+17,1.1530620237471352,3.9859649122807017
2,2111.3645,17.25,0.269,1.5374898200385946e+17,1.1342079001413266,3.9859649122807017
3,2115.9793,17.212,0.268,1.5433468025044992e+17,1.1623583620702718,3.9859649122807017
4,2110.5879,17.256,0.269,1.5378392900193485e+17,1.170523762702942,3.9859649122807017
5,2111.9476,17.245,0.269,1.537862812037284e+17,1.1345982434044422,3.9859649122807017
6,2114.9891,17.22,0.269,1.5407022556309094e+17,1.1777853680328585,3.9859649122807017
7,2120.8444,17.172,0.268,1.5451949610565632e+17,1.2256880377379942,3.9859649122807017
8,2115.7928,17.213,0.268,1.5427755534974976e+17,1.1614961137234325,3.9859649122807017
9,2116.0195,17.212,0.268,1.5441969554384486e+17,1.1744377990843544,3.9859649122807017
