setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4653.126,15.064,0.235,2.983613401839698e+17,1.349960438934438,3.987220447284345
1,4655.0774,15.058,0.235,2.991543682172191e+17,1.311710039774577,3.987220447284345
2,4653.2225,15.064,0.235,2.9924442394302874e+17,1.3189093682355497,3.987220447284345
3,4661.6514,15.037,0.234,2.98825059966124e+17,1.3108882179190389,3.987220447284345
4,4670.2891,15.009,0.234,2.994715794305188e+17,1.3191095717224008,3.987220447284345
5,4651.4383,15.07,0.235,2.987914570833592e+17,1.306552244193388,3.987220447284345
6,4654.5124,15.06,0.235,2.992296386746122e+17,1.3073224549765114,3.987220447284345
7,4659.4441,15.044,0.234,2.990333978392658e+17,1.3076450440473173,3.987220447284345
8,4651.0357,15.071,0.235,2.990105478789857e+17,1.3294748482686696,3.987220447284345
9,4662.0827,15.035,0.234,2.989661920737362e+17,1.3032238134097704,3.987220447284345
