setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4721.4246,14.846,0.231,2.983613401839698e+17,1.3638498914110793,3.987220447284345
1,4729.1495,14.822,0.231,2.991543682172191e+17,1.331725767680577,3.987220447284345
2,4736.1274,14.8,0.231,2.9924442394302874e+17,1.3688083598901937,3.987220447284345
3,4731.1426,14.816,0.231,2.98825059966124e+17,1.3848558205824633,3.987220447284345
4,4749.2007,14.76,0.23,2.994715794305188e+17,1.3548634266242003,3.987220447284345
5,4721.4357,14.846,0.231,2.987914570833592e+17,1.3430437535156696,3.987220447284345
6,4728.0901,14.825,0.231,2.992296386746122e+17,1.3242730989560976,3.987220447284345
7,4734.8135,14.804,0.231,2.990333978392658e+17,1.3318372462695336,3.987220447284345
8,4721.5134,14.846,0.231,2.990105478789857e+17,1.3439660779722444,3.987220447284345
9,4731.1502,14.816,0.231,2.989661920737362e+17,1.3310162523290614,3.987220447284345
