setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4622.7012,15.156,0.236,2.958041608055685e+17,1.417664532259707,3.989041095890411
1,4620.4681,15.163,0.236,2.9584650043785216e+17,1.368412897263691,3.989041095890411
2,4612.1843,15.19,0.237,2.952903727280947e+17,1.3748864367768006,3.989041095890411
3,4617.5719,15.172,0.236,2.948854579907789e+17,1.368947195046114,3.989041095890411
4,4610.0542,15.197,0.237,2.951361354962043e+17,1.376538329945379,3.989041095890411
5,4605.3354,15.213,0.237,2.947708721605509e+17,1.3493254813519153,3.989041095890411
6,4611.5205,15.192,0.237,2.9552223261917184e+17,1.3580607485858511,3.989041095890411
7,4620.8236,15.162,0.236,2.955780134045614e+17,1.3674853616581732,3.989041095890411
8,4613.2771,15.187,0.237,2.951788111573156e+17,1.3758056792584095,3.989041095890411
9,4613.7426,15.185,0.237,2.954429298158469e+17,1.35654494089958,3.989041095890411
