setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4638.3008,15.105,0.235,2.958041608055685e+17,1.362352742380275,3.989041095890411
1,4635.8189,15.113,0.236,2.9584650043785216e+17,1.326317698090941,3.989041095890411
2,4632.5779,15.123,0.236,2.952903727280947e+17,1.349039681228526,3.989041095890411
3,4628.4745,15.137,0.236,2.948854579907789e+17,1.3136900816208277,3.989041095890411
4,4628.8413,15.136,0.236,2.951361354962043e+17,1.3133837687663543,3.989041095890411
5,4627.3737,15.14,0.236,2.947708721605509e+17,1.355488923006442,3.989041095890411
6,4631.3638,15.127,0.236,2.9552223261917184e+17,1.3055114466628748,3.989041095890411
7,4638.396,15.104,0.235,2.955780134045614e+17,1.3600426724542192,3.989041095890411
8,4631.8203,15.126,0.236,2.951788111573156e+17,1.3589108086330988,3.989041095890411
9,4629.2907,15.134,0.236,2.954429298158469e+17,1.2933848528634935,3.989041095890411
