setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,7013.8361,24.249,0.379,4.897929309491036e+17,1.1183772844722473,3.99699021820918
1,7016.2255,24.24,0.379,4.897038833097769e+17,1.1116054804928333,3.99699021820918
2,6999.1116,24.3,0.379,4.897492472015094e+17,1.1216970737799103,3.99699021820918
3,7025.8692,24.207,0.378,4.900533532905308e+17,1.1077260848987533,3.99699021820918
4,7000.3228,24.295,0.379,4.897905787473101e+17,1.1362205499626068,3.99699021820918
5,7017.5971,24.236,0.378,4.898251897165578e+17,1.130065932510847,3.99699021820918
6,7018.0221,24.234,0.378,4.8987357786773914e+17,1.1215153607618378,3.99699021820918
7,7006.8179,24.273,0.379,4.899028123757445e+17,1.065117496862469,3.99699021820918
8,7020.308,24.226,0.378,4.898466955615273e+17,1.1352161829730114,3.99699021820918
9,6980.5956,24.364,0.38,4.8977915376717005e+17,1.0761229293533119,3.99699021820918
