setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,7048.7253,24.129,0.377,4.897929309491036e+17,1.199458802679935,3.99699021820918
1,7051.681,24.119,0.377,4.897038833097769e+17,1.3806552524308124,3.99699021820918
2,7034.1947,24.178,0.378,4.897492472015094e+17,1.3632091255073089,3.99699021820918
3,7059.967,24.09,0.376,4.900533532905308e+17,1.3110809049692498,3.99699021820918
4,7035.0271,24.176,0.378,4.897905787473101e+17,1.1979004738919705,3.99699021820918
5,7054.1841,24.11,0.377,4.898251897165578e+17,1.4170968119638512,3.99699021820918
6,7044.7286,24.142,0.377,4.8987357786773914e+17,1.2087415946894382,3.99699021820918
7,7050.781,24.122,0.377,4.899028123757445e+17,1.38835107418428,3.99699021820918
8,7061.5258,24.085,0.376,4.898466955615273e+17,1.179979271917458,3.99699021820918
9,7013.4657,24.25,0.379,4.8977915376717005e+17,1.1998692573194045,3.99699021820918
