setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,7006.1451,24.215,0.378,4.8878652461029786e+17,1.101056959513811,3.9954734062617883
1,7005.61,24.217,0.378,4.8888229282617754e+17,1.0769248581364796,3.9954734062617883
2,6987.0815,24.281,0.379,4.887209989889065e+17,1.1016993121078007,3.9954734062617883
3,6983.1184,24.295,0.379,4.8903720211572326e+17,1.0737294147742118,3.9954734062617883
4,6979.3208,24.308,0.379,4.888735560766587e+17,1.0917247371731207,3.9954734062617883
5,7000.6719,24.234,0.378,4.8889842220990464e+17,1.0750756820162977,3.9954734062617883
6,6994.5117,24.255,0.379,4.8871226223938765e+17,1.0988143981403455,3.9954734062617883
7,6990.725,24.268,0.379,4.889199280548741e+17,1.0472221381714697,3.9954734062617883
8,6985.2019,24.287,0.379,4.8858759554433024e+17,1.091825000108909,3.9954734062617883
9,6974.0426,24.326,0.38,4.889101832188723e+17,1.0560235552197137,3.9954734062617883
