setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,7060.3083,24.029,0.375,4.8878652461029786e+17,1.4212091332836094,3.9954734062617883
1,7059.3598,24.032,0.375,4.8888229282617754e+17,1.1659754691167181,3.9954734062617883
2,7054.1907,24.05,0.375,4.887209989889065e+17,1.4115702079502117,3.9954734062617883
3,7050.5989,24.062,0.376,4.8903720211572326e+17,1.2920669637778015,3.9954734062617883
4,7082.9165,23.952,0.374,4.888735560766587e+17,1.1396382409640309,3.9954734062617883
5,7085.3223,23.944,0.374,4.8889842220990464e+17,1.4204869162280034,3.9954734062617883
6,7085.8346,23.942,0.374,4.8871226223938765e+17,1.4070751526564629,3.9954734062617883
7,7085.2501,23.944,0.374,4.889199280548741e+17,1.156659101611538,3.9954734062617883
8,7095.8068,23.909,0.373,4.8858759554433024e+17,1.1695634339151066,3.9954734062617883
9,7077.5729,23.97,0.374,4.889101832188723e+17,1.1780097232484386,3.9954734062617883
