setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,14123.0108,7.187,0.449,7.601129026887352e+17,0.7202994852017935,4.0
1,14117.4493,7.19,0.449,7.596559045526815e+17,0.7195900366706175,4.0
2,14112.9877,7.192,0.45,7.606008154045809e+17,0.7155289518427278,4.0
3,14100.7265,7.198,0.45,7.599717709114245e+17,0.7122421179713698,4.0
4,14136.3061,7.18,0.449,7.619261099991368e+17,0.7248969655319542,4.0
5,14123.2903,7.187,0.449,7.615040587793695e+17,0.7263060074586135,4.0
6,14136.9829,7.18,0.449,7.603373694202675e+17,0.7365245448535809,4.0
7,14169.9782,7.163,0.448,7.621949324321096e+17,0.7196305204760682,4.0
8,14101.7947,7.198,0.45,7.610121137270292e+17,0.720688391754035,4.0
9,13933.9568,7.285,0.455,7.614368531711263e+17,0.7233692019764442,4.0
