setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,14106.2557,7.196,0.45,7.601129026887352e+17,0.8247606049269476,4.0
1,14096.7522,7.201,0.45,7.596559045526815e+17,0.8083726398430736,4.0
2,14077.2021,7.211,0.451,7.606008154045809e+17,0.8100058576949457,4.0
3,14090.443,7.204,0.45,7.599717709114245e+17,0.7988420549737851,4.0
4,14129.295,7.184,0.449,7.619261099991368e+17,0.799471700777773,4.0
5,14136.4028,7.18,0.449,7.615040587793695e+17,0.7941662830031685,4.0
6,14107.9165,7.195,0.45,7.603373694202675e+17,0.7993241304256877,4.0
7,14135.148,7.181,0.449,7.621949324321096e+17,0.842818571670359,4.0
8,14129.6396,7.184,0.449,7.610121137270292e+17,0.8846481589020275,4.0
9,13920.8925,7.291,0.456,7.614368531711263e+17,0.8086541050018609,4.0
