setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13753.7364,7.227,0.452,7.630518039372104e+17,0.7018053190829442,3.9993561886367295
1,13737.3684,7.236,0.452,7.616539272857518e+17,0.6918352321893725,3.9993561886367295
2,13748.1457,7.23,0.452,7.626821730918728e+17,0.6882335538643065,3.9993561886367295
3,13745.7634,7.231,0.452,7.62699646550016e+17,0.6882354518481401,3.9993561886367295
4,13753.9592,7.227,0.452,7.628387621590794e+17,0.6986820308607928,3.9993561886367295
5,13752.4586,7.228,0.452,7.63746709926445e+17,0.6873582326744114,3.9993561886367295
6,13750.2353,7.229,0.452,7.628515312246456e+17,0.6911667934633883,3.9993561886367295
7,13764.0225,7.222,0.451,7.639812574992138e+17,0.6889401139248899,3.9993561886367295
8,13742.5796,7.233,0.452,7.62842794495574e+17,0.6945782970476365,3.9993561886367295
9,13739.9043,7.234,0.452,7.624422490704445e+17,0.6910415239205149,3.9993561886367295
