setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13789.9004,7.208,0.45,7.630518039372104e+17,0.8000279823887831,3.9993561886367295
1,13702.2031,7.254,0.453,7.616539272857518e+17,0.7881943873259918,3.9993561886367295
2,13723.2863,7.243,0.453,7.626821730918728e+17,0.7776471691905339,3.9993561886367295
3,13715.6265,7.247,0.453,7.62699646550016e+17,0.8168694765738188,3.9993561886367295
4,13717.5588,7.246,0.453,7.628387621590794e+17,0.7897535179479614,3.9993561886367295
5,13741.7475,7.233,0.452,7.63746709926445e+17,0.7734454186286607,3.9993561886367295
6,13726.5491,7.241,0.453,7.628515312246456e+17,0.8083478044250744,3.9993561886367295
7,13755.9489,7.226,0.452,7.639812574992138e+17,0.8089716720795984,3.9993561886367295
8,13746.3161,7.231,0.452,7.62842794495574e+17,0.7701372340350326,3.9993561886367295
9,13736.2049,7.236,0.452,7.624422490704445e+17,0.784666244168475,3.9993561886367295
