setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1414.9902,24.831,0.387,9.747524232413184e+16,1.2559913301119838,3.9927140255009106
1,1411.6129,24.891,0.388,9.719028987828634e+16,1.2099977418454024,3.9927140255009106
2,1417.4597,24.788,0.387,9.741072478922342e+16,1.2337752545837068,3.9927140255009106
3,1404.2746,25.021,0.39,9.734083079307264e+16,1.222033833935313,3.9927140255009106
4,1413.1406,24.864,0.388,9.718491341704397e+16,1.2619308755345588,3.9927140255009106
5,1411.5972,24.891,0.388,9.727093679692186e+16,1.1828612680852848,3.9927140255009106
6,1412.2826,24.879,0.388,9.713652526586266e+16,1.2369063457433325,3.9927140255009106
7,1414.444,24.841,0.387,9.743760709543526e+16,1.2068859773830776,3.9927140255009106
8,1409.4281,24.929,0.389,9.712577234337792e+16,1.203677274014828,3.9927140255009106
9,1419.9933,24.744,0.386,9.72816897194066e+16,1.1851999455124793,3.9927140255009106
