setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1420.7366,24.731,0.386,9.747524232413184e+16,1.2359676761348752,3.9927140255009106
1,1413.8376,24.852,0.388,9.719028987828634e+16,1.2065061965998072,3.9927140255009106
2,1422.4113,24.702,0.385,9.741072478922342e+16,1.1838682185124307,3.9927140255009106
3,1405.1272,25.006,0.39,9.734083079307264e+16,1.3015526559231054,3.9927140255009106
4,1418.8905,24.763,0.386,9.718491341704397e+16,1.2116645270020423,3.9927140255009106
5,1413.5708,24.856,0.388,9.727093679692186e+16,1.2762821347173983,3.9927140255009106
6,1413.1025,24.864,0.388,9.713652526586266e+16,1.1880200814156636,3.9927140255009106
7,1415.3535,24.825,0.387,9.743760709543526e+16,1.2375320796548885,3.9927140255009106
8,1421.4374,24.719,0.386,9.712577234337792e+16,1.2449604899343782,3.9927140255009106
9,1410.2642,24.914,0.389,9.72816897194066e+16,1.219354414591824,3.9927140255009106
