setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1427.5011,24.387,0.381,9.793291358738842e+16,1.223722022245912,4.0
1,1416.4797,24.576,0.384,9.764056850733466e+16,1.182305172085762,4.0
2,1420.7803,24.502,0.383,9.77339845214208e+16,1.192889141247553,4.0
3,1422.5226,24.472,0.382,9.781295129591808e+16,1.2008326824973612,4.0
4,1419.5332,24.524,0.383,9.77759881248768e+16,1.2294936131905108,4.0
5,1421.8027,24.484,0.383,9.789830261814067e+16,1.1611393028322388,4.0
6,1420.1641,24.513,0.383,9.777027563480678e+16,1.213575677398373,4.0
7,1422.3773,24.475,0.382,9.779648588336333e+16,1.1896848310442532,4.0
8,1420.2879,24.511,0.383,9.768794857203302e+16,1.1801610869519852,4.0
9,1418.2103,24.546,0.384,9.748028275654656e+16,1.1970965349498917,4.0
