setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1432.3107,24.305,0.38,9.793291358738842e+16,1.1889068720971836,4.0
1,1423.0934,24.462,0.382,9.764056850733466e+16,1.1500882322297377,4.0
2,1427.7202,24.383,0.381,9.77339845214208e+16,1.2039196491241455,4.0
3,1427.8354,24.381,0.381,9.781295129591808e+16,1.2215759894427132,4.0
4,1424.0914,24.445,0.382,9.77759881248768e+16,1.33647918613518,4.0
5,1429.8371,24.347,0.38,9.789830261814067e+16,1.3672203298877268,4.0
6,1426.5485,24.403,0.381,9.777027563480678e+16,1.2939053331227863,4.0
7,1429.5852,24.351,0.381,9.779648588336333e+16,1.1485417410731316,4.0
8,1436.5124,24.234,0.379,9.768794857203302e+16,1.1264531384496128,4.0
9,1424.798,24.433,0.382,9.748028275654656e+16,1.1907679815502727,4.0
