setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2620.3765,13.958,0.217,1.704150037687173e+17,1.157718324325454,3.9755030621172356
1,2576.2164,14.198,0.22,1.7115964365078528e+17,1.1087074884226624,3.9755030621172356
2,2571.3707,14.224,0.221,1.7108437319339213e+17,1.0921555153081115,3.9755030621172356
3,2555.5624,14.312,0.222,1.704499507667927e+17,1.0848385120781374,3.9755030621172356
4,2560.2699,14.286,0.222,1.7038812146250547e+17,1.1811931947587242,3.9755030621172356
5,2570.9397,14.227,0.221,1.708531853599703e+17,1.0767001148680566,3.9755030621172356
6,2562.1318,14.276,0.222,1.706542562940027e+17,1.1151760010652139,3.9755030621172356
7,2559.8918,14.288,0.222,1.709230793561211e+17,1.106256239850756,3.9755030621172356
8,2557.3703,14.302,0.222,1.7084512066810675e+17,1.0852593796353944,3.9755030621172356
9,2569.6394,14.234,0.221,1.706542562940027e+17,1.0917277932167053,3.9755030621172356
