setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2562.0627,14.276,0.222,1.704150037687173e+17,1.143301141094154,3.9755030621172356
1,2557.9041,14.299,0.222,1.7115964365078528e+17,1.0794813313954312,3.9755030621172356
2,2561.0013,14.282,0.222,1.7108437319339213e+17,1.0865195175291786,3.9755030621172356
3,2541.8591,14.389,0.223,1.704499507667927e+17,1.0701403525513662,3.9755030621172356
4,2550.3186,14.342,0.223,1.7038812146250547e+17,1.1470257547539724,3.9755030621172356
5,2554.4868,14.318,0.222,1.708531853599703e+17,1.0636334209374978,3.9755030621172356
6,2548.8693,14.35,0.223,1.706542562940027e+17,1.106712715726503,3.9755030621172356
7,2543.1033,14.382,0.223,1.709230793561211e+17,1.1029932322636458,3.9755030621172356
8,2537.3937,14.415,0.224,1.7084512066810675e+17,1.0729502540239146,3.9755030621172356
9,2555.5178,14.313,0.222,1.706542562940027e+17,1.0780131371927932,3.9755030621172356
