setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2581.1059,14.171,0.22,1.704150037687173e+17,1.1697642433811242,3.9755030621172356
1,2586.0344,14.144,0.22,1.7115964365078528e+17,1.2079705470044848,3.9755030621172356
2,2588.6125,14.13,0.219,1.7108437319339213e+17,1.1045279519658693,3.9755030621172356
3,2569.957,14.232,0.221,1.704499507667927e+17,1.1254585309767386,3.9755030621172356
4,2575.5887,14.201,0.221,1.7038812146250547e+17,1.3054705102678756,3.9755030621172356
5,2586.0558,14.144,0.22,1.708531853599703e+17,1.0989773676428995,3.9755030621172356
6,2582.2201,14.165,0.22,1.706542562940027e+17,1.1437874344033254,3.9755030621172356
7,2578.0566,14.187,0.22,1.709230793561211e+17,1.1456608772277832,3.9755030621172356
8,2576.2611,14.197,0.22,1.7084512066810675e+17,1.0966839765159178,3.9755030621172356
9,2584.1895,14.154,0.22,1.706542562940027e+17,1.158191098293788,3.9755030621172356
