setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2557.467,14.241,0.222,1.7088981250218394e+17,1.2739033094594177,3.989464442493415
1,2560.6606,14.223,0.222,1.707846354791301e+17,1.1746474840271641,3.989464442493415
2,2557.6727,14.24,0.222,1.708357118609326e+17,1.1822185835368197,3.989464442493415
3,2555.0416,14.254,0.222,1.709482815181947e+17,1.181439542434585,3.989464442493415
4,2554.907,14.255,0.222,1.7069054740738867e+17,1.284246199567553,3.989464442493415
5,2556.633,14.245,0.222,1.705907468455772e+17,1.1473555581670412,3.989464442493415
6,2557.5942,14.24,0.222,1.708397442068644e+17,1.1885276226930215,3.989464442493415
7,2556.1532,14.248,0.222,1.7096911530550886e+17,1.2021835354012502,3.989464442493415
8,2550.0924,14.282,0.223,1.7114385029588582e+17,1.1682420750738869,3.989464442493415
9,2557.8458,14.239,0.222,1.7118114949575475e+17,1.1758635363108676,3.989464442493415
