setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2563.3388,14.208,0.222,1.7088981250218394e+17,1.1219374117716936,3.989464442493415
1,2573.3787,14.153,0.221,1.707846354791301e+17,1.1135931736986402,3.989464442493415
2,2575.4635,14.141,0.221,1.708357118609326e+17,1.0745504817492526,3.989464442493415
3,2573.6313,14.151,0.221,1.709482815181947e+17,1.0987386737071292,3.989464442493415
4,2569.3011,14.175,0.221,1.7069054740738867e+17,1.156525407038944,3.989464442493415
5,2572.5461,14.157,0.221,1.705907468455772e+17,1.0686130616026865,3.989464442493415
6,2577.6884,14.129,0.22,1.708397442068644e+17,1.0996596880362068,3.989464442493415
7,2568.5958,14.179,0.221,1.7096911530550886e+17,1.120722471828192,3.989464442493415
8,2571.8838,14.161,0.221,1.7114385029588582e+17,1.0903195713607359,3.989464442493415
9,2576.278,14.137,0.22,1.7118114949575475e+17,1.0989112459437949,3.989464442493415
