setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5506.6455,12.729,0.198,3.6733730557761946e+17,1.3027364701141804,3.987220447284345
1,5506.584,12.729,0.198,3.681209248036946e+17,1.276597526047256,3.987220447284345
2,5509.8068,12.722,0.198,3.682069481835725e+17,1.2747594192351177,3.987220447284345
3,5508.4469,12.725,0.198,3.678144665128796e+17,1.271544989212092,3.987220447284345
4,5518.3776,12.702,0.198,3.684408242476155e+17,1.2765805939614991,3.987220447284345
5,5501.6355,12.741,0.198,3.676787108665098e+17,1.261815341837677,3.987220447284345
6,5508.3833,12.725,0.198,3.683265744462152e+17,1.2670860971723283,3.987220447284345
7,5513.1979,12.714,0.198,3.680012985410519e+17,1.2716333411988758,3.987220447284345
8,5505.0894,12.733,0.198,3.679650074276659e+17,1.291965594658485,3.987220447284345
9,5510.9197,12.719,0.198,3.680066750022943e+17,1.2629148663181962,3.987220447284345
