setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5523.2569,12.691,0.198,3.6733730557761946e+17,1.3016144100562994,3.987220447284345
1,5566.0171,12.594,0.196,3.681209248036946e+17,1.2465363378489847,3.987220447284345
2,5534.992,12.664,0.197,3.682069481835725e+17,1.2758103971516257,3.987220447284345
3,5531.469,12.672,0.197,3.678144665128796e+17,1.2727603999686328,3.987220447284345
4,5544.4366,12.643,0.197,3.684408242476155e+17,1.2866784958612352,3.987220447284345
5,5559.7388,12.608,0.196,3.676787108665098e+17,1.3869061522431425,3.987220447284345
6,5567.0634,12.591,0.196,3.683265744462152e+17,1.2791645430819891,3.987220447284345
7,5558.4378,12.611,0.196,3.680012985410519e+17,1.2607504249492407,3.987220447284345
8,5562.2431,12.602,0.196,3.679650074276659e+17,1.3149093446277438,3.987220447284345
9,5565.7514,12.594,0.196,3.680066750022943e+17,1.2700125599082137,3.987220447284345
