setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5486.0865,12.77,0.199,3.650217309262971e+17,1.27234085051568,3.989041095890411
1,5474.8759,12.797,0.199,3.6507751171168666e+17,1.2490919422317337,3.989041095890411
2,5477.1584,12.791,0.199,3.644955097822003e+17,1.257901722694928,3.989041095890411
3,5480.875,12.783,0.199,3.6408958695840154e+17,1.2297990260980067,3.989041095890411
4,5482.0486,12.78,0.199,3.6430800569637274e+17,1.2508022549388174,3.989041095890411
5,5473.1664,12.801,0.2,3.640109562127319e+17,1.2375516847813086,3.989041095890411
6,5483.5366,12.776,0.199,3.647962555829453e+17,1.241010953218509,3.989041095890411
7,5487.5691,12.767,0.199,3.6484934813771366e+17,1.2344528973757565,3.989041095890411
8,5478.1555,12.789,0.199,3.6429960497568154e+17,1.2672108590821207,3.989041095890411
9,5477.3578,12.791,0.199,3.6463092939974246e+17,1.2316058843563764,3.989041095890411
