setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5499.2225,12.74,0.199,3.650217309262971e+17,1.2682520225371197,3.989041095890411
1,5488.079,12.766,0.199,3.6507751171168666e+17,1.2525734770429002,3.989041095890411
2,5493.6324,12.753,0.199,3.644955097822003e+17,1.2704366676973335,3.989041095890411
3,5565.7418,12.588,0.196,3.6408958695840154e+17,1.299826565679613,3.989041095890411
4,5490.3922,12.76,0.199,3.6430800569637274e+17,1.262321955991752,3.989041095890411
5,5482.1934,12.78,0.199,3.640109562127319e+17,1.2873740257360997,3.989041095890411
6,5489.24,12.763,0.199,3.647962555829453e+17,1.231174886444986,3.989041095890411
7,5496.6148,12.746,0.199,3.6484934813771366e+17,1.2576418726435512,3.989041095890411
8,5485.588,12.772,0.199,3.6429960497568154e+17,1.2728512994535677,3.989041095890411
9,5485.1457,12.773,0.199,3.6463092939974246e+17,1.229971786995074,3.989041095890411
