setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1101.3821,31.902,0.498,7.132951130249626e+16,1.5374031693395906,3.9927140255009106
1,1099.1076,31.968,0.499,7.127037022883021e+16,1.4777896021404406,3.9927140255009106
2,1106.9024,31.743,0.495,7.140478175988941e+16,1.4999976645420938,3.9927140255009106
3,1101.5643,31.896,0.497,7.128112315131494e+16,1.459805435507837,3.9927140255009106
4,1100.9936,31.913,0.498,7.127574669007258e+16,1.5222719725031053,3.9927140255009106
5,1100.5194,31.927,0.498,7.145854637231309e+16,1.4443243576662383,3.9927140255009106
6,1101.853,31.888,0.497,7.103918239540838e+16,1.5605910624900874,3.9927140255009106
7,1105.5096,31.783,0.496,7.14908051397673e+16,1.4156510777717088,3.9927140255009106
8,1101.4262,31.9,0.498,7.109294700783206e+16,1.5226551198611293,3.9927140255009106
9,1100.9658,31.914,0.498,7.128649961255731e+16,1.5033178573107198,3.9927140255009106
