setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1605.8168,21.88,0.341,1.0891097538664858e+17,1.3922795092102385,3.9927140255009106
1,1602.0868,21.931,0.342,1.087389286268928e+17,1.333857974866881,3.9927140255009106
2,1601.1251,21.945,0.342,1.087550580106199e+17,1.396161216018844,3.9927140255009106
3,1600.409,21.954,0.342,1.0879806970055885e+17,1.3882937840301626,3.9927140255009106
4,1600.0546,21.959,0.342,1.0866365816949965e+17,1.3921541819607255,3.9927140255009106
5,1603.4321,21.913,0.342,1.0883570492925542e+17,1.3306217924521788,3.9927140255009106
6,1600.1136,21.958,0.342,1.0859376417334886e+17,1.3313558319189254,3.9927140255009106
7,1604.1066,21.904,0.342,1.0887871661919437e+17,1.3206212790343013,3.9927140255009106
8,1599.5138,21.967,0.343,1.085023643322286e+17,1.3645900757643428,3.9927140255009106
9,1601.1268,21.945,0.342,1.087550580106199e+17,1.372508901749214,3.9927140255009106
